responid,age,gender,edu,income,marital,consumption_rate,patronage_arbys,patronage_burgerking,patronage_mcd,patronage_subway,patronage_wendys,rating_arbys,rating_burgerking,rating_mcd,rating_subway,rating_wendys
297,2,2,4,8,1,1,3,1,2,2,3,,8,6,6,
298,2,2,2,1,1,15,3,2,1,1,1,,3,6,8,7
299,2,2,3,4,2,14,2,3,3,1,3,7,,,10,
300,2,1,4,1,2,12,1,1,1,1,1,8,10,6,9,9
302,2,1,3,8,1,3,4,4,3,1,3,,,,8,
304,2,2,4,2,2,3,3,3,2,2,1,,,4,8,7
305,2,1,2,2,2,20,1,1,2,1,1,9,3,1,6,5
306,2,2,4,4,1,10,4,1,3,1,2,,7,,10,5
308,2,2,2,1,2,6,3,3,3,3,3,,,,,
309,2,1,1,6,1,8,3,1,1,2,1,,9,7,8,8
311,2,2,3,1,1,5,2,2,1,1,1,7,3,8,8,9
313,2,1,4,4,1,14,3,3,2,2,3,,,2,5,
314,2,2,2,3,1,8,2,3,2,1,1,5,,5,5,8
315,2,1,3,1,1,4,3,3,2,1,2,,,7,8,7
316,2,2,3,2,1,2,,1,,,,,4,,,
317,2,1,3,4,1,10,3,2,1,1,2,,7,7,8,8
319,2,2,3,8,1,15,3,1,1,1,1,,8,8,8,8
320,2,2,3,1,1,3,3,3,1,2,3,,,7,9,
321,2,2,3,3,2,6,2,1,1,1,2,9,8,7,10,8
322,2,1,2,5,1,2,2,3,2,1,1,6,,6,8,8
323,2,1,3,3,1,14,2,1,3,2,1,8,9,,8,7
324,2,1,1,4,1,3,,1,,3,1,,9,,,10
325,2,2,1,8,1,10,2,2,1,1,2,8,4,5,7,6
327,2,2,3,2,1,3,3,2,2,1,1,,7,8,9,8
329,2,2,2,1,1,1,4,3,2,4,3,,,6,,
330,2,2,1,4,1,6,3,3,1,1,1,,,3,10,9
333,2,2,3,2,1,4,3,2,1,1,1,,8,8,8,7
334,2,2,4,1,3,4,2,2,1,1,2,9,6,6,10,4
335,4,2,3,1,1,2,3,2,2,3,1,,7,3,,9
337,2,2,2,2,2,10,2,2,1,1,2,6,8,8,9,7
338,2,2,3,1,2,6,2,1,1,1,2,9,9,9,10,9
339,2,2,3,4,1,3,1,3,1,3,1,7,,5,,7
341,2,1,3,3,1,5,2,2,1,1,1,7,7,8,8,8
343,2,2,4,1,2,3,2,2,1,3,3,3,7,9,,
344,2,2,4,2,2,8,3,2,2,1,1,,7,2,9,8
345,2,1,3,4,1,4,2,2,1,1,2,7,7,5,10,9
347,2,2,3,4,1,3,3,2,2,1,1,,8,4,9,10
349,2,2,5,1,1,4,3,3,1,1,1,,,7,9,8
350,2,2,3,6,1,20,3,2,1,3,1,,7,9,,6
352,2,2,2,1,2,4,,2,2,,,,8,8,,
353,2,1,3,4,1,5,3,1,1,2,1,,6,6,3,5
354,2,2,4,1,1,20,3,1,1,1,1,,6,6,6,6
355,2,2,1,2,1,4,3,3,3,3,3,,,,,
356,2,2,3,8,1,3,,1,,,,,7,,,
357,2,2,3,1,1,10,3,1,1,2,2,,8,8,8,8
362,2,2,3,8,1,3,3,3,1,1,3,,,7,8,
363,2,2,3,4,1,20,1,1,1,2,1,8,7,6,8,8
364,2,2,2,4,2,3,,1,1,1,3,,7,6,10,
367,2,2,3,3,1,4,,,,1,,,,,10,
368,2,2,3,2,1,2,3,1,2,2,3,,7,4,8,
369,2,2,4,2,1,5,4,3,1,4,2,,,7,,9
370,2,2,5,4,1,4,3,3,1,2,1,,,5,8,8
371,6,2,3,3,2,15,3,1,1,1,1,,7,7,9,9
372,2,2,3,8,1,12,3,3,3,1,1,,,,9,7
373,2,2,2,8,1,4,3,2,1,4,2,,7,8,,6
375,2,1,3,1,1,6,3,1,1,1,1,,9,8,7,8
377,2,2,2,2,2,1,,1,,,,,9,,,
378,2,2,4,8,2,7,2,1,1,1,3,8,6,6,9,
379,2,2,2,4,1,25,4,1,1,1,1,,10,9,10,10
380,2,2,2,1,2,3,1,3,3,1,2,7,,,9,6
381,2,2,3,8,1,6,4,3,3,3,3,,,,,
382,2,2,3,1,1,5,4,1,1,2,2,,9,6,7,9
383,2,2,3,8,1,10,3,1,1,2,3,,8,3,8,
384,2,1,2,3,1,10,3,1,2,3,1,,9,8,,9
385,2,2,3,1,1,2,4,3,3,4,2,,,,,7
386,2,2,3,1,1,5,4,3,2,2,3,,,6,5,
389,2,2,4,1,1,5,,,1,2,,,,7,8,
390,2,1,3,8,1,15,,,1,1,1,,,4,7,10
